year,month,new_hd_cd,upjong_code,revenue,customer_count,payment_count
2017,1,36110360,3001,15094908.71,17.76,17.76
2017,1,36110360,3102,3163040.45,44.4,44.4
2017,1,36110360,3302,6899261.21,26.64,26.64
2017,1,36110360,3303,22526931.4,71.03,71.03
2017,1,36110360,3401,61599303.45,1065.52,1101.04
2017,1,36110360,3403,5417740.32,159.83,177.59
2017,1,36110360,3404,15716463.77,26.64,26.64
2017,1,36110360,3408,27148637.28,17.76,17.76
2017,1,36110360,4101,76665975.79,4244.33,4350.89
2017,1,36110360,4108,223810080.3,4572.87,4679.42
2017,1,36110360,4110,7070632.82,586.04,603.8
2017,1,36110360,4111,24054180.99,53.28,53.28
2017,1,36110360,4112,72848384.59,9509.79,9891.6
2017,1,36110360,5103,20466920.33,230.86,230.86
2017,1,36110360,5605,233437879.5,1225.35,1225.35
2017,1,36110360,5608,1025982538.0,15929.57,16009.48
2017,1,36110360,5610,570942.72,186.47,186.47
2017,1,36110360,6001,61546382.47,452.85,488.36
2017,1,36110360,6010,3462949.64,35.52,35.52
2017,1,36110360,6114,2301529.61,230.86,230.86
2017,1,36110360,6203,22153998.37,115.43,115.43
2017,1,36110360,6299,2219839.52,35.52,35.52
2017,1,36110360,7002,11543165.48,35.52,35.52
2017,1,36110360,7003,7401832.88,443.97,452.85
2017,1,36110360,7005,10903940.49,852.42,861.3
2017,1,36110360,7007,3081137.25,44.4,44.4
2017,1,36110360,7102,8231164.92,275.26,275.26
2017,1,36110360,8102,2752601.0,17.76,17.76
2017,1,36110360,8106,7103486.45,26.64,26.64
2017,1,36110360,8202,142069.73,8.88,8.88
2017,1,36110360,8205,1426024.9,44.4,44.4
2017,1,36110360,8218,17314748.22,17.76,17.76
2017,1,36110360,8406,1895742.95,142.07,142.07
2017,1,36110360,8410,12431101.29,35.52,35.52
2017,1,36110360,9001,532761.48,8.88,8.88
2017,1,36110360,9002,17922984.25,26.64,26.64
2017,1,36110360,9003,825780.3,17.76,17.76
2017,1,36110360,9011,379881047.5,1278.63,1607.16
