id,h_dng_cd,year,month,sex,age,population
404,36110550,2018,5,M,15,12027.95576
405,36110550,2018,5,M,20,8248.388659
406,36110550,2018,5,M,25,11182.26599
407,36110550,2018,5,M,30,17862.23017
408,36110550,2018,5,M,35,27536.21239
409,36110550,2018,5,M,40,26039.82115
410,36110550,2018,5,M,45,24842.0255
411,36110550,2018,5,M,50,16102.62101
412,36110550,2018,5,M,55,13894.02969
413,36110550,2018,5,M,60,9809.475523
414,36110550,2018,5,M,65,6475.025335
415,36110550,2018,5,M,70,4695.546961
416,36110550,2018,5,M,75,2797.9441
417,36110550,2018,6,F,15,13534.85604
418,36110550,2018,6,F,20,9070.218611
419,36110550,2018,6,F,25,15608.71378
420,36110550,2018,6,F,30,24502.27593
421,36110550,2018,6,F,35,36028.45612
422,36110550,2018,6,F,40,30953.07794
423,36110550,2018,6,F,45,22781.89478
424,36110550,2018,6,F,50,15578.98977
425,36110550,2018,6,F,55,15012.76142
426,36110550,2018,6,F,60,11566.35471
427,36110550,2018,6,F,65,7428.064401
428,36110550,2018,6,F,70,5630.841743
429,36110550,2018,6,F,75,3922.564629
430,36110550,2018,6,M,15,13008.28476
431,36110550,2018,6,M,20,8890.378856
432,36110550,2018,6,M,25,11317.7625
433,36110550,2018,6,M,30,18518.50656
434,36110550,2018,6,M,35,28316.89954
435,36110550,2018,6,M,40,27226.8046
436,36110550,2018,6,M,45,25287.27961
437,36110550,2018,6,M,50,16277.77078
438,36110550,2018,6,M,55,14051.50612
439,36110550,2018,6,M,60,10224.64888
440,36110550,2018,6,M,65,6655.872438
441,36110550,2018,6,M,70,4889.53264
442,36110550,2018,6,M,75,2975.644729
443,36110550,2018,7,F,15,15496.16806
444,36110550,2018,7,F,20,10470.67645
445,36110550,2018,7,F,25,16582.90586
446,36110550,2018,7,F,30,25844.14001
447,36110550,2018,7,F,35,37386.94494
448,36110550,2018,7,F,40,32364.49275
449,36110550,2018,7,F,45,24207.0097
450,36110550,2018,7,F,50,16741.85521
451,36110550,2018,7,F,55,16089.58088
452,36110550,2018,7,F,60,12695.27633
453,36110550,2018,7,F,65,7998.26584
454,36110550,2018,7,F,70,6233.85368
455,36110550,2018,7,F,75,4187.040354
456,36110550,2018,7,M,15,14503.33455
457,36110550,2018,7,M,20,10744.90042
458,36110550,2018,7,M,25,12191.90776
459,36110550,2018,7,M,30,19377.85265
460,36110550,2018,7,M,35,29721.94123
461,36110550,2018,7,M,40,28188.23081
