year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum
2018,2,36110530,443806.803787,24334,27808,27913,8028319855,20325,20480
2018,2,36110540,285002.520602,30376,35665,35733,9560461758,25728,25891
2018,2,36110550,462931.96529399994,26447,30323,30448,6050329808,21961,22151
2018,2,36110560,611448.52933,31372,37353,37371,8288031992,26887,27025
2018,3,36110250,1077774.43345,43849,42171,44985,28763897917,42171,44985
2018,3,36110310,382814.73631,2582,14638,10954,1804143198,14638,10954
2018,3,36110320,109859.39030999996,3047,4295,2781,993413329,4295,2781
2018,3,36110330,156654.41412800006,6046,9081,5808,5491941492,9081,5808
2018,3,36110340,118750.013477,8605,13825,13517,4804095514,9208,8236
2018,3,36110350,361383.52898599993,5884,9555,9373,6222909247,12684,14211
2018,3,36110360,226769.328957,7365,10326,10212,3946438434,10326,10212
2018,3,36110370,181893.52917100003,5810,8343,5833,2893939506,8343,5833
2018,3,36110380,62342.89004680002,3493,2998,2012,779596972,2998,2012
2018,3,36110390,42825.7499362,2614,1836,1589,2322250123,1836,1589
2018,3,36110510,271035.24542199995,19695,24433,24428,15556221372,17685,17751
2018,3,36110515,662458.696706,29890,38327,38285,13640162634,27761,27850
2018,3,36110520,569292.9242090001,32233,41492,41416,28686732150,29876,29950
2018,3,36110530,381754.93279200007,24331,29193,29317,9058136369,21444,21614
2018,3,36110540,255481.60703299998,30277,37245,37313,10429595593,27009,27173
2018,3,36110550,421828.5200710001,26425,31732,31856,6785059315,23103,23295
2018,3,36110560,607966.018541,32308,40362,40377,9976753432,29196,29338
2018,4,36110250,1082020.21768,43614,42435,45111,27252735717,42435,45111
2018,4,36110310,372005.12014899997,2560,14929,10619,1957805061,14929,10619
2018,4,36110320,113099.27656900001,3031,4217,2643,901402860,4217,2643
2018,4,36110330,158292.026481,6023,9130,5916,5539131092,9130,5916
2018,4,36110340,114766.405723,8574,13754,13441,4718618732,9494,8260
2018,4,36110350,425010.038703,5852,9484,9304,6698407653,13090,14161
2018,4,36110360,229245.598314,7309,10382,9916,4093024755,10382,9916
2018,4,36110370,182900.182463,5771,8414,5873,2755427280,8414,5873
2018,4,36110380,65508.34371749999,3482,3105,2098,880397377,3105,2098
2018,4,36110390,44367.8958542,2602,1775,1625,2487745424,1775,1625
2018,4,36110510,265992.73626800004,19531,24106,24105,14050593363,17544,17614
2018,4,36110515,699641.105044,34487,43593,43637,14019490941,31800,31969
2018,4,36110520,565009.3297670003,32126,41115,41072,26308900936,29774,29871
2018,4,36110530,381831.019643,24185,28807,28939,8929438058,21280,21457
2018,4,36110540,259663.68777,30099,36745,36836,10063377470,26799,26982
2018,4,36110550,405665.590829,26261,31287,31438,6739882812,22904,23116
2018,4,36110560,591826.773788,32728,40564,40636,9901267068,29523,29710
2018,5,36110250,1063524.2822800002,43496,41958,44656,28588193451,41958,44656
2018,5,36110310,376776.7258110001,2547,14942,10440,2313809767,14942,10440
2018,5,36110320,109660.15330399999,3022,4320,2633,1132002726,4320,2633
2018,5,36110330,160677.61479000002,6023,9452,5934,5926059058,9452,5934
2018,5,36110340,115972.276922,8574,13738,13436,4764990557,9668,8243
2018,5,36110350,402235.903418,5865,9479,9304,6901389779,13205,14200
2018,5,36110360,226099.79611500003,7285,10545,10298,4325183296,10545,10298
2018,5,36110370,183510.61601199998,5758,8395,5993,2866572161,8395,5993
2018,5,36110380,67776.964322,3472,3218,2136,995279892,3218,2136
2018,5,36110390,44594.5883922,2584,1841,1618,2538927750,1841,1618
2018,5,36110510,271113.876478,19432,23997,23986,14988380901,17526,17588
2018,5,36110515,728413.414679,37334,47136,47170,16228282992,34519,34693
