id,hd_cd,year,month,upjong_code,revenue,customer_count,payment_count,high_class,upjong
282,3611025000,2017,3,6020,710348.64,17.76,17.76,10,
283,3611025000,2017,3,5402,754745.44,8.88,8.88,7,
284,3611025000,2017,3,5301,781383.51,8.88,8.88,7,
285,3611025000,2017,3,1010,790262.87,17.76,17.76,1,
286,3611025000,2017,3,3303,1012246.82,17.76,17.76,5,
287,3611025000,2017,3,9002,1562767.02,8.88,8.88,14,
288,3611025000,2017,3,6208,1624922.53,53.28,53.28,10,
289,3611025000,2017,3,4114,1775871.61,26.64,26.64,6,
290,3611025000,2017,3,5610,2116838.96,985.61,985.61,8,2
291,3611025000,2017,3,8408,2131045.93,8.88,8.88,13,
292,3611025000,2017,3,6199,2143699.02,17.76,17.76,10,
293,3611025000,2017,3,4199,2246477.59,53.28,53.28,6,
294,3611025000,2017,3,8211,2308633.1,17.76,17.76,13,
295,3611025000,2017,3,3202,2317512.45,44.4,44.4,4,
296,3611025000,2017,3,8404,2431168.24,26.64,26.64,13,
297,3611025000,2017,3,8205,2466241.7,221.98,239.74,13,
298,3611025000,2017,3,7006,2663807.42,8.88,8.88,11,
299,3611025000,2017,3,8303,2956826.23,35.52,35.52,13,1
300,3611025000,2017,3,3204,3262276.15,53.28,62.16,4,
301,3611025000,2017,3,4113,3311112.62,204.23,213.1,6,2
302,3611025000,2017,3,1205,3613898.73,88.79,97.67,1,
303,3611025000,2017,3,1299,3773727.18,88.79,88.79,1,
304,3611025000,2017,3,1206,3871400.12,62.16,62.16,1,1
305,3611025000,2017,3,6013,3995711.13,8.88,8.88,9,
306,3611025000,2017,3,5603,4555110.69,115.43,115.43,8,
307,3611025000,2017,3,8399,4687413.12,133.19,133.19,13,
308,3611025000,2017,3,3201,5077216.94,168.71,168.71,4,
309,3611025000,2017,3,2404,5665030.44,97.67,97.67,2,
310,3611025000,2017,3,6102,5794846.66,239.74,239.74,10,
311,3611025000,2017,3,8111,5931411.19,17.76,17.76,13,2
312,3611025000,2017,3,3299,6166714.17,79.91,79.91,4,
313,3611025000,2017,3,1104,6326542.62,186.47,186.47,1,
314,3611025000,2017,3,3402,6499690.1,17.76,17.76,5,
315,3611025000,2017,3,8114,6748312.13,17.76,26.64,13,2
316,3611025000,2017,3,2401,7005813.51,97.67,97.67,2,
317,3611025000,2017,3,6009,7884869.96,150.95,150.95,9,
318,3611025000,2017,3,6021,8080215.84,44.4,44.4,9,2
319,3611025000,2017,3,6204,8301311.85,177.59,177.59,10,1
320,3611025000,2017,3,6018,8406088.28,2299.75,2432.94,10,2
321,3611025000,2017,3,6011,8416743.51,932.33,932.33,9,2
322,3611025000,2017,3,5611,8522407.87,213.1,213.1,8,2
323,3611025000,2017,3,7009,8914875.49,337.42,355.17,11,
324,3611025000,2017,3,8304,9136859.45,195.35,195.35,13,
325,3611025000,2017,3,7004,9924280.92,1180.95,1207.59,11,
326,3611025000,2017,3,1101,9998157.18,79.91,79.91,1,
327,3611025000,2017,3,7108,1.006031268E7,133.19,133.19,12,
328,3611025000,2017,3,1208,1.029117599E7,79.91,79.91,1,
329,3611025000,2017,3,6002,1.039772829E7,266.38,275.26,9,
330,3611025000,2017,3,8110,1.046165967E7,710.35,790.26,13,2
331,3611025000,2017,3,8218,1.049868659E7,559.4,559.4,13,
332,3611025000,2017,3,3102,1.13589188E7,168.71,168.71,4,
333,3611025000,2017,3,8113,1.143750112E7,115.43,115.43,13,
334,3611025000,2017,3,1202,1.170299393E7,124.31,124.31,1,
335,3611025000,2017,3,8299,1.291520389E7,701.47,710.35,13,
336,3611025000,2017,3,6107,1.485632035E7,923.45,923.45,10,
337,3611025000,2017,3,6010,1.510822774E7,186.47,186.47,9,
338,3611025000,2017,3,4111,1.528137523E7,71.03,71.03,6,
339,3611025000,2017,3,6116,1.551667821E7,204.23,204.23,10,
340,3611025000,2017,3,1001,1.705271836E7,266.38,275.26,1,
341,3611025000,2017,3,1207,1.802953655E7,506.12,515.0,1,1
342,3611025000,2017,3,7007,1.846817683E7,284.14,310.78,11,2
343,3611025000,2017,3,9001,1.85294444E7,355.17,355.17,14,
344,3611025000,2017,3,7107,1.855785835E7,239.74,257.5,11,
345,3611025000,2017,3,3499,1.912436139E7,186.47,186.47,5,
346,3611025000,2017,3,6007,2.01064184E7,1385.18,1429.58,9,2
347,3611025000,2017,3,1003,2.042252354E7,26.64,26.64,1,
348,3611025000,2017,3,2403,2.093752631E7,186.47,186.47,2,
349,3611025000,2017,3,1102,2.10041215E7,355.17,355.17,1,
350,3611025000,2017,3,8201,2.239374103E7,44.4,44.4,13,
351,3611025000,2017,3,4200,2.239818071E7,142.07,142.07,6,
352,3611025000,2017,3,7103,2.438271724E7,435.09,435.09,12,2
353,3611025000,2017,3,3406,2.517697582E7,763.62,790.26,5,
354,3611025000,2017,3,1203,2.556367186E7,124.31,124.31,1,
355,3611025000,2017,3,8112,2.859153296E7,115.43,115.43,13,2
356,3611025000,2017,3,9003,2.89298365E7,1651.56,1678.2,14,
357,3611025000,2017,3,6299,2.959490042E7,17.76,26.64,10,
358,3611025000,2017,3,2499,3.167400211E7,1855.79,1873.54,2,
359,3611025000,2017,3,8199,3.288914226E7,461.73,479.49,13,2
360,3611025000,2017,3,6005,3.87672773E7,665.95,683.71,9,
361,3611025000,2017,3,3302,3.940659108E7,35.52,35.52,5,
362,3611025000,2017,3,1201,4.08033141E7,568.28,577.16,1,
363,3611025000,2017,3,6103,4.097202191E7,364.05,364.05,10,
364,3611025000,2017,3,1099,4.137869651E7,665.95,692.59,1,1
365,3611025000,2017,3,6205,4.33277156E7,1518.37,1553.89,10,
366,3611025000,2017,3,1008,4.42309239E7,887.94,941.21,1,1
367,3611025000,2017,3,7105,4.514354432E7,2939.07,2965.71,12,
368,3611025000,2017,3,2112,4.542857172E7,1962.34,1971.22,2,3
369,3611025000,2017,3,3405,4.748947072E7,293.02,301.9,5,
370,3611025000,2017,3,8101,4.768215279E7,106.55,106.55,13,
371,3611025000,2017,3,5502,5.290854295E7,443.97,443.97,8,
372,3611025000,2017,3,6203,5.298756924E7,772.5,799.14,10,
373,3611025000,2017,3,2107,5.380890986E7,3169.93,3178.81,2,3
374,3611025000,2017,3,1007,5.601365446E7,736.99,745.87,1,
