,year,month,h_dng_cd,sector_code,living_ingu,revenue,customer_count,payment_count,saengwhal_population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,dong_name,upjong_name
3674,2017,5,36110250,5502,884756.7671499999,104786184.49169998,784.965131522,818.0162949019998,1074636.61013,44622,41328,44465,조치원읍,자동차
3675,2017,5,36110250,5603,553896.18122,8056221.08635,165.255817176,165.255817176,1074636.61013,44622,41328,44465,조치원읍,자동차
3676,2017,5,36110250,5605,943402.3976199998,755707400.6650001,6758.962921818001,6990.3210658180005,1074636.61013,44622,41328,44465,조치원읍,자동차
3677,2017,5,36110250,5608,1074636.61013,2416132225.823,42255.91244885,42933.46129995,1074636.61013,44622,41328,44465,조치원읍,자동차
3678,2017,5,36110250,5609,994365.59643,342042304.07250005,10097.130427728,10113.656009828,1074636.61013,44622,41328,44465,조치원읍,자동차
3679,2017,5,36110250,5610,872074.2053099999,4690786.3702,1396.4116550540002,1445.9884001740002,1074636.61013,44622,41328,44465,조치원읍,자동차
3680,2017,5,36110250,5611,617110.0387599999,8151243.181509999,190.04418974200001,190.04418974200001,1074636.61013,44622,41328,44465,조치원읍,자동차
3681,2017,5,36110250,6001,1000854.7429899998,362188241.66160005,4040.504729548,4288.388455178,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3682,2017,5,36110250,6002,700555.3395499999,22491316.71629,437.927915472,462.716288052,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3683,2017,5,36110250,6005,544939.7317100001,53207070.3597,1495.56514526,1578.19305402,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3684,2017,5,36110250,6006,82389.92082999999,1322046.5373,16.525581715999998,16.525581715999998,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3685,2017,5,36110250,6007,956932.08644,92331650.0734,5238.609403973999,6180.567561815999,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3686,2017,5,36110250,6009,507695.15491,18045935.234,338.77442518800007,338.77442518800007,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3687,2017,5,36110250,6010,654171.77026,26188915.62489,371.825588614,371.825588614,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3688,2017,5,36110250,6011,882945.3385,31056778.016590007,2768.03493759,2958.079127310001,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3689,2017,5,36110250,6013,68057.12187,2148325.6235,16.525581715999998,16.525581715999998,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3690,2017,5,36110250,6015,737675.8069200001,1912009.8046,256.14651661,256.14651661,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3691,2017,5,36110250,6018,654357.5239599998,17826576.192929998,3784.358213388,4932.886142228,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3692,2017,5,36110250,6020,147423.45989,1916967.4788,24.788372578,24.788372578,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
3693,2017,5,36110250,6021,159608.65477000002,11237395.5674,74.365117716,74.365117716,1074636.61013,44622,41328,44465,조치원읍,레포츠/문화/취미
