year,month,h_dng_cd,population
2018,1,36110380,59235.14061440001
2018,1,36110390,42412.1645366
2018,1,36110510,305107.5129640001
2018,1,36110515,558450.4322350001
2018,1,36110520,614456.855407
2018,1,36110530,438255.46952299995
2018,1,36110540,280334.72445199994
2018,1,36110550,457580.96162400016
2018,1,36110560,600103.949699
2018,2,36110250,893447.2995400002
2018,2,36110310,378984.7861989999
2018,2,36110320,112120.33099300001
2018,2,36110330,158433.32884399997
2018,2,36110340,124833.13306000001
2018,2,36110350,187172.96420199997
2018,2,36110360,233583.49519300004
2018,2,36110370,201687.08228
2018,2,36110380,65841.692113
2018,2,36110390,49273.636593200004
2018,2,36110510,303949.441617
2018,2,36110515,587921.123438
2018,2,36110520,613581.2929920001
2018,2,36110530,443806.803787
2018,2,36110540,285002.520602
2018,2,36110550,462931.965294
2018,2,36110560,611448.52933
2018,3,36110250,1077774.4334500001
2018,3,36110310,382814.73631
2018,3,36110320,109859.39030999997
2018,3,36110330,156654.41412800003
2018,3,36110340,118750.01347700001
2018,3,36110350,361383.52898599993
2018,3,36110360,226769.32895700002
2018,3,36110370,181893.52917100003
2018,3,36110380,62342.890046800014
2018,3,36110390,42825.7499362
2018,3,36110510,271035.24542199995
2018,3,36110515,662458.696706
2018,3,36110520,569292.9242090001
2018,3,36110530,381754.93279200007
2018,3,36110540,255481.607033
2018,3,36110550,421828.5200710001
2018,3,36110560,607966.0185409999
2018,4,36110250,1082020.21768
2018,4,36110310,372005.120149
2018,4,36110320,113099.276569
2018,4,36110330,158292.026481
2018,4,36110340,114766.405723
2018,4,36110350,425010.038703
2018,4,36110360,229245.59831399997
2018,4,36110370,182900.18246299998
2018,4,36110380,65508.34371749999
2018,4,36110390,44367.8958542
2018,4,36110510,265992.73626800004
2018,4,36110515,699641.105044
2018,4,36110520,565009.3297670002
2018,4,36110530,381831.019643
2018,4,36110540,259663.68776999996
2018,4,36110550,405665.59082899994
2018,4,36110560,591826.773788
2018,5,36110250,1063524.2822800002
2018,5,36110310,376776.7258110001
2018,5,36110320,109660.153304
2018,5,36110330,160677.61479000002
2018,5,36110340,115972.276922
2018,5,36110350,402235.90341800003
2018,5,36110360,226099.79611500003
2018,5,36110370,183510.616012
2018,5,36110380,67776.964322
2018,5,36110390,44594.5883922
2018,5,36110510,271113.876478
2018,5,36110515,728413.414679
2018,5,36110520,554712.912014
2018,5,36110530,360418.9401869999
2018,5,36110540,264834.7198310001
2018,5,36110550,385479.75052600005
2018,5,36110560,593889.7156919999
2018,6,36110250,1031307.6307399998
2018,6,36110310,383383.45853299985
2018,6,36110320,109410.54919800002
2018,6,36110330,160931.29448799998
2018,6,36110340,115670.54174399999
2018,6,36110350,345892.7513519999
2018,6,36110360,224876.290989
2018,6,36110370,180737.147481
2018,6,36110380,66159.454031
2018,6,36110390,42593.6995784
2018,6,36110510,269846.35033300007
2018,6,36110515,811139.919198
2018,6,36110520,572492.280516
2018,6,36110530,372414.877684
2018,6,36110540,274404.63573099993
2018,6,36110550,399259.96188699995
2018,6,36110560,613932.964625
2018,7,36110250,909726.0583000001
2018,7,36110310,372470.207665
2018,7,36110320,106033.80980299998
2018,7,36110330,161442.70663900004
2018,7,36110340,114992.13528500001
2018,7,36110350,191830.325194
2018,7,36110360,224143.11894699998
2018,7,36110370,178232.17466800002
2018,7,36110380,65331.779459000005
2018,7,36110390,42858.52030519999
2018,7,36110510,268040.944437
2018,7,36110515,843158.8916019998
2018,7,36110520,616965.417089
2018,7,36110530,394918.5743989999
2018,7,36110540,290565.1148890001
2018,7,36110550,426413.2305709999
2018,7,36110560,609122.2475429999
2018,8,36110250,884162.8921399998
2018,8,36110310,367853.343644
2018,8,36110320,105675.69412700001
2018,8,36110330,164275.79808399998
2018,8,36110340,124104.47752699998
2018,8,36110350,255583.110522
2018,8,36110360,230358.05951
2018,8,36110370,177751.976643
2018,8,36110380,72072.54384900001
2018,8,36110390,42463.82503800001
2018,8,36110510,287943.735975
2018,8,36110515,915137.4680489999
2018,8,36110520,656079.3039930001
2018,8,36110530,432619.188111
2018,8,36110540,315193.18316400005
2018,8,36110550,462410.16234900005
2018,8,36110560,704982.0316260001
2018,9,36110250,1020352.67496
2018,9,36110310,375007.16826999997
2018,9,36110320,106596.548355
2018,9,36110330,172687.146394
2018,9,36110340,117259.872067
2018,9,36110350,331788.608773
2018,9,36110360,226967.38254499997
2018,9,36110370,184954.33286599995
2018,9,36110380,76171.151854
2018,9,36110390,56341.891597999995
2018,9,36110510,240585.30848100004
2018,9,36110515,794942.4848589998
2018,9,36110520,586502.181751
2018,9,36110530,378258.30235899996
2018,9,36110540,283173.59012000007
2018,9,36110550,419387.111933
2018,9,36110560,631699.2438589999
